ID,Root,Plate,Genotype,Sucrose,NaCl,DAG,MRLd
349,0,90,Col-0,NoSucrose,125 mM,10,2.3719504
349,0,90,Col-0,NoSucrose,125 mM,11,2.7334924
349,0,90,Col-0,NoSucrose,125 mM,12,2.7334924
350,1,90,Col-0,NoSucrose,125 mM,5,1.0142506
350,1,90,Col-0,NoSucrose,125 mM,8,1.8746972
350,1,90,Col-0,NoSucrose,125 mM,9,2.2072723
350,1,90,Col-0,NoSucrose,125 mM,10,2.5208533
350,1,90,Col-0,NoSucrose,125 mM,11,3.117303
350,1,90,Col-0,NoSucrose,125 mM,12,3.1173031
369,0,95,Col-0,NoSucrose,0 mM,5,0.7840336
